LabID,SiteLabel,SiteDescr,Site,Date,SampleType,Q_cfs,ROSS Turbidity,ROSS Time (MST),ROSS Field_DO_mgL,ROSS Field_Cond_µS/cm,ROSS Field_Temp_C,Turbidity,TSS,ChlA,DOC,DTN,pH,ANC,SC,Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4
FCW 1707,LNGO,LNGO_080922,Long Draw Outlet,9-Aug-22,NORM,,,,,,,9.08,9.39,0.47,2.23,0.29,7.01,299.98,53.04,0.91,0.05,0.5,1.26,7.81,0.13,0.11,0.52,0,9.15
FCW 1708,PTRR,PTRR_080922,Peterson Reservoir,9-Aug-22,NORM,,,,,,,2.56,4,2.07,6.58,0.2,6.91,249.42,38.14,1.41,0.05,1.07,0.68,5.44,0.04,0.43,0.11,0,2.19
FCW 1709,PTRO,PTRO_080922,Peterson Outlet,9-Aug-22,NORM,,,,,,,0.67,0.99,1.57,6.5,0.32,6.99,306.48,37.48,1.4,0.03,1.14,0.65,4.58,0.03,0.47,0.14,0,2.4
FCW 1710,JOEI,JOEI_080922,Joe Wright Inlet,9-Aug-22,NORM,,,,,,,5.4,4.2,0.2,1.09,0.34,7.19,483.31,61.51,1.45,0.06,0.49,1.44,7.98,0.05,0.4,0.47,0,6.01
FCW 1711,JOER,JOER_080922,Joe Wright Reservoir,9-Aug-22,NORM,,,,,,,4.38,3.96,0.97,2.84,0.19,7.11,458.23,51.62,1.44,0.02,0.64,1.31,6.7,0.11,0.49,0.03,0,3.24
FCW 1712,CBRI,CBRI_080922,Chambers Inlet,9-Aug-22,NORM,,,,,,,7.09,6.33,0.64,2.74,0.22,7.01,460.04,53.75,1.78,0.01,0.79,1.26,6.89,0.09,0.59,0.22,0,2.43
FCW 1713,BMD,BMD_080922,Barnes Meadow Outflow,9-Aug-22,NORM,,,,,,,5.04,5.06,1.86,6.54,0.92,6.92,597.05,81.22,2.33,0.53,1.31,1.45,10.6,0.01,1.74,0.22,0,5.97
FCW 1714,BRNR,BRNR_080922,Barnes Meadow Reservoir,9-Aug-22,NORM,,,,,,,4.16,10.5,2.01,6.55,0.49,7.13,580.13,81.09,2.39,0.05,1.27,1.43,10.24,0.07,1.63,0.03,0.28,7.31
FCW 1715,CBRR,CBRR_080922,Chambers Reservoir,9-Aug-22,NORM,,,,,,,3.28,3.87,1.94,2.59,0.2,7.11,389.75,45.89,1.42,0.02,0.83,1.1,6.42,0.07,0.5,0.04,0,2.19
FCW 1716,CHD,CHD_080922,Chambers Outflow,9-Aug-22,NORM,,,,,,,4.33,3.56,1.71,2.48,0.26,7.08,541.61,59.23,1.87,0.04,1.03,1.22,8.28,0.04,0.54,0.2,0,2.38
FCW 1717,LNGR,LNGR_081622,Long Draw Reservoir,16-Aug-22,NORM,,,,,,,0.24,0.37,0.77,2.41,0.22,6.92,271.79,49.99,1.41,0.04,0.58,1.15,7.27,0.26,0.24,0.41,0,7.3
FCW 1718,LNGO,LNGO_081622,Long Draw Outlet,16-Aug-22,NORM,,,,,,,30.54,32.02,,2.37,0.19,6.9,270.79,52.17,0.95,0.05,0.54,1.22,7.83,0.16,0.11,0.47,0,8.96
FCW 1719,PTRR,PTRR_081622,Peterson Reservoir,16-Aug-22,NORM,,,,,,,39.44,44.44,2.8,6.58,0.29,6.98,233.81,38.3,1.56,0.03,1.15,0.74,5.28,0.03,0.49,0.33,0,2.31
FCW 1720,PTRR,PTRR_081622,Peterson Reservoir,16-Aug-22,DUPLICATE,,,,,,,39.44,53.21,,6.62,0.31,7,269.22,39.35,1.57,0.04,1.16,0.76,5.31,0.03,0.52,0.33,0,2.34
FCW 1721,PTRO,PTRO_081622,Peterson Outlet,16-Aug-22,NORM,,,,,,,5.1,4.92,2.3,6.68,0.36,6.97,326.59,37.88,1.55,0.03,1.16,0.73,4.89,0.07,0.47,0.08,0,2.27
FCW 1722,JOEI,JOEI_081622,Joe Wright Inlet,16-Aug-22,NORM,,,,,,,0.06,1.09,0.24,1.43,0.29,7.2,480.82,66.45,1.62,0.12,0.53,1.65,9.02,0.04,0.39,0.44,0,6.6
FCW 1723,JOER,JOER_081622,Joe Wright Reservoir,16-Aug-22,NORM,,,,,,,0.66,0.93,3.06,2.89,0.11,7.15,452.79,52.16,1.39,0.02,0.64,1.29,6.72,0.11,0.46,0.03,0,3.25
FCW 1724,CBRI,CBRI_081622,Chambers Inlet,16-Aug-22,NORM,,,,,,,5.4,5.3,3.63,2.84,0.27,7.09,370.03,45.9,1.44,0.04,0.72,1.23,6.21,0.1,0.61,0.39,0,2.78
FCW 1725,BMD,BMD_081622,Barnes Meadow Outflow,16-Aug-22,NORM,,,,,,,7.21,3.96,0.72,6.52,0.99,6.98,583.66,81.85,2.31,0.59,1.29,1.42,10.84,0.03,1.71,0.22,0,5.66
FCW 1726,BRNR,BRNR_081622,Barnes Meadow Reservoir,16-Aug-22,NORM,,,,,,,4.61,10.56,2.47,6.37,0.27,7.14,549.49,76.99,2.42,0.01,1.3,1.35,9.19,0.06,1.68,0.09,0,7.26
FCW 1727,CBRR,CBRR_081622,Chambers Reservoir,16-Aug-22,NORM,,,,,,,1.39,0.96,4.21,2.61,0.06,7.13,384.3,47.62,1.39,0.02,0.78,1.08,7.1,0.04,0.44,0.04,0,2.09
FCW 1728,CHD,CHD_081622,Chambers Outflow,16-Aug-22,NORM,,,,,,,6.59,5.18,2.58,2.86,0.33,7.05,377.49,49.86,1.49,0.02,0.86,1.15,7.17,0.06,0.55,0.26,0,2.18
FCW 1729,SAWM,SAWM_081722,Sawmill,17-Aug-22,NORM,,,,,,,1.65,0.92,,1.06,0.27,7.22,437.88,49.82,1.16,0.02,0.8,1.22,7.07,0.03,0.15,0.74,0,2.25
FCW 1738,BEAV,BEAV_081722,Beaver,17-Aug-22,NORM,,,,,,,32.18,26.36,,2.39,0.37,6.91,255.58,34.2,1.85,0.04,0.62,0.85,4.36,0.02,0.32,0.79,0,1.48
FCW 1739,LNGR,LNGR_082322,Long Draw Reservoir,23-Aug-22,NORM,,,,,,,4.81,4,0.82,2.34,0.17,6.91,299.24,48.5,1.39,0.02,0.51,1.01,6.63,0.17,0.14,0.36,0,7.39
FCW 1740,LNGO,LNGO_082322,Long Draw Outlet,23-Aug-22,NORM,,,,,,,0.7,1.2,0.84,2.21,0.3,6.92,325.37,49.31,0.89,0.04,0.49,0.98,6.75,0.17,0.13,0.39,0,7.6
FCW 1741,PTRR,PTRR_082322,Peterson Reservoir,23-Aug-22,NORM,,,,,,,8.29,6.9,2.35,6.11,0.37,7.01,233.26,35.03,1.49,0.05,0.98,0.76,4.73,0.04,0.59,0.37,0,2.3
FCW 1742,PTRO,PTRO_082322,Peterson Outlet,23-Aug-22,NORM,,,,,,,6.99,6.2,2.52,6.09,0.65,6.98,290.29,34.69,1.37,0.05,0.93,0.55,4.38,0.02,0.54,0.31,0,2.11
FCW 1743,JOEI,JOEI_082322,Joe Wright Inlet,23-Aug-22,NORM,,,,,,,0.89,1.1,0.2,0.8,0.2,6.92,522.94,61.38,1.4,0.02,0.44,1.28,8.07,0.06,0.37,0.66,0,6.57
FCW 1744,JOEI,JOEI_082322,Joe Wright Inlet,23-Aug-22,DUPLICATE,,,,,,,1.03,1,,0.8,0.21,6.92,549.17,62.94,1.4,0.05,0.43,1.32,8.33,0.06,0.37,0.65,0,6.66
FCW 1745,JOER,JOER_082322,Joe Wright Reservoir,23-Aug-22,NORM,,,,,,,2.45,2.7,2.22,2.5,0.19,6.92,420.18,47.43,1.21,0.04,0.53,1.01,5.95,0.06,0.47,0.02,0,3.07
FCW 1746,CBRI,CBRI_082322,Chambers Inlet,23-Aug-22,NORM,,,,,,,2.21,1.45,0.56,2.63,0.2,6.92,450.68,52.98,1.49,0.04,0.65,0.93,7.5,0.06,0.63,0.31,0,2.29
FCW 1747,BMD,BMD_082322,Barnes Meadow Outflow,23-Aug-22,NORM,,,,,,,199.46,135.45,20.56,6.32,0.93,6.91,603.41,76.98,2.19,0.54,1.2,1.36,9.28,0.02,1.68,0.39,0,4.74
FCW 1748,BRNR,BRNR_082322,Barnes Meadow Reservoir,23-Aug-22,NORM,,,,,,,5.1,4.21,2.21,6.42,0.25,6.94,527.46,69.11,1.97,0.05,0.99,1.05,9.07,0.02,1.56,0.1,0,6.67
FCW 1749,CBRR,CBRR_082322,Chambers Reservoir,23-Aug-22,NORM,,,,,,,0.38,0.4,1.6,2.53,0.09,6.92,412.73,43.86,1.16,0.07,0.62,0.79,5.55,0.02,0.35,0.03,0,1.96
FCW 1750,CHD,CHD_082322,Chambers Outflow,23-Aug-22,NORM,,,,,,,1.75,0.5,1.34,2.49,0.26,7.08,437.56,41.89,1.16,0.07,0.59,0.78,5.07,0.02,0.44,0.09,0,1.92
FCW 1751,JOEI,JOEI_082522,Joe Wright Inlet,25-Aug-22,NORM,,,,,,,0.44,0.4,0.18,0.81,0.3,6.92,506.34,61.85,1.27,0.04,0.37,1.18,7.78,0.06,0.37,0.72,0,6.4
FCW 1752,JOEI,JOEI_082522,Joe Wright Inlet,25-Aug-22,DUPLICATE,,,,,,,0.6,0.34,,0.8,0.32,6.93,524.14,61.98,1.25,0.03,0.37,1.19,7.77,0.06,0.34,0.68,0,6.42
FCW 1753,JOER,JOER_082522,Joe Wright Reservoir,25-Aug-22,NORM,,,,,,,3.65,3.74,3.23,2.72,0.16,6.95,381.13,44.19,1.16,0.03,0.49,0.97,5.62,0.06,0.49,0.03,0,3.13
FCW 1754,CBRI,CBRI_082522,Chambers Inlet,25-Aug-22,NORM,,,,,,,2.39,1.26,0.57,2.7,0.21,6.97,495.92,51.91,1.47,0.04,0.61,0.93,7.76,0.06,0.68,0.31,0,2.3
FCW 1755,BRNR,BRNR_082522,Barnes Meadow Reservoir,25-Aug-22,NORM,,,,,,,6.95,6.43,2.62,6.6,0.24,6.89,544.92,71.26,1.92,0.09,0.92,1.08,8.96,0.04,1.67,0.09,0,6.97
FCW 1756,BRNR,BRNR_082522,Barnes Meadow Reservoir,25-Aug-22,BLANK,,,,,,,0,0,,0.01,0.02,5.74,7.6,1.22,0.04,0.01,0,0.06,0.01,0.01,0.01,0,0,0
FCW 1757,CBRR,CBRR_082522,Chambers Reservoir,25-Aug-22,NORM,,,,,,,4.83,5.32,1.39,2.47,0.09,6.96,381.09,39.92,1.12,0.06,0.54,0.76,5.02,0.06,0.51,0.03,0,2.04
FCW 1758,CHD,CHD_082522,Chambers Outflow,25-Aug-22,NORM,,,,,,,2.41,2.47,0.55,2.67,0.12,6.95,374.02,40.23,1.12,0.06,0.56,0.79,5.02,0.06,0.53,0.23,0,2.06
FCW 1759,JWC,JWC_082522,JWC-Joe Wright @ Aspen Glen Campground,25-Aug-22,NORM,,,,,,,1.31,2,1.11,2.68,0.31,7.31,375.4,41.69,1.19,0.06,0.58,0.8,5.29,0.06,0.55,0.14,0,2.04
FCW 1760,PJW,PJW_082522,Poudre Above Joe Wright,25-Aug-22,NORM,,,,,,,4.08,2.69,0.73,2.38,0.34,6.96,306.2,41.9,0.91,0.03,0.36,0.74,4.9,0.03,0.18,0.62,0,5.64
FCW 1761,PNF,PNF_082522,Poudre Above North Fork,25-Aug-22,NORM,,,,,,,18.09,15.66,1.01,2.53,0.45,7.17,499.98,57.16,2.05,0.02,0.9,1.4,7.11,0.04,0.8,0.11,0,4.12
FCW 1762,PBD,PBD_082522,Poudre at Bellvue Diversion,25-Aug-22,NORM,,,,,,,15,32.21,1.13,2.5,0.27,7.47,538.5,66.89,2.2,0.03,0.9,1.83,7.89,0.1,0.99,0.04,0,3.89
FCW 1763,PBD,PBD_082522,Poudre at Bellvue Diversion,25-Aug-22,DUPLICATE,,,,,,,15.59,34.55,0.96,2.71,0.29,7.47,562,67.93,2.22,0.01,0.91,1.87,8,0.09,1,0.05,0,3.89
FCW 1764,legacy,LEGC_082522,Poudre at Legacy Bridge,25-Aug-22,NORM,,,,,,,31.07,28.73,4.2,2.77,0.37,7.07,773.59,104.34,4.68,0.04,1.93,2.26,12.28,0.39,2.08,1.24,0,7.66
FCW 1765,timberline,TIMB_082522,Poudre at Timberline,25-Aug-22,NORM,,,,,,,28.17,30.98,10.17,3.22,0.67,7.28,1388.19,247.78,13.38,0.09,2.33,6.16,24.46,0.47,11.83,1.17,0,34.22
FCW 1766,ELC,ELC_082522,Poudre at ELC ,25-Aug-22,NORM,,,,,,,34.98,41.51,25.91,3.27,0.96,7.6,2360.22,600.6,25.46,0.11,2.47,16.54,61.12,0.48,21.7,1.39,0,116.81
FCW 1767,archery,ARCH_082522,Poudre at Archery Range,25-Aug-22,NORM,,,,,,,52.03,53.53,20.38,3.27,0.92,7.4,2358.44,629.95,25.36,0.1,2.63,17.92,64.98,0.49,21.61,1.49,0,124.04
FCW 1768,archery,ARCH_082522,Poudre at Archery Range,25-Aug-22,DUPLICATE,,,,,,,47.52,52.26,,3.25,0.91,7.45,2431.16,632.19,26.16,0.09,2.6,18.14,66.46,0.5,22.17,1.5,0,124.81
FCW 1769,JWC,JWC_082622,JWC-Joe Wright @ Aspen Glen Campground,26-Aug-22,NORM,,,,,,,6.25,7.8,0.76,2.47,0.26,7.18,461,44.39,1.12,0.04,0.54,0.84,5.22,0.02,0.52,0.18,0,1.94
FCW 1770,JWC,JWC_082622,JWC-Joe Wright @ Aspen Glen Campground,26-Aug-22,BLANK,,,,,,,0.06,0.05,0,0.05,0.01,5.85,7.19,1.01,0.02,0,0,0.01,0.05,0,0,0.01,0,0.01
FCW 1771,PJW,PJW_082622,Poudre Above Joe Wright,26-Aug-22,NORM,,,,,,,0.87,0.19,0.7,2.38,0.39,6.95,280.85,39.58,0.84,0.02,0.38,0.72,4.85,0.02,0.16,0.59,0,5.51
FCW 1773,PBR,PBR_082622,Poudre Below Rustic,26-Aug-22,NORM,,,,,,,8.58,12.31,0.99,2.49,0.26,7.15,457.18,55.21,1.8,0.02,0.67,1.38,6.99,0.02,0.51,0.59,0,3.81
FCW 1774,PBR,PBR_082622,Poudre Below Rustic,26-Aug-22,DUPLICATE,,,,,,,7.58,12.35,0.97,2.55,0.26,7.16,461.32,55.1,1.82,0.03,0.67,1.4,6.98,0.02,0.52,0.6,0,3.83
FCW 1775,SFM,SFM_082622,Poudre South Fork ,26-Aug-22,NORM,,,,,,,7.44,10.4,0.73,2.42,0.19,6.94,400.67,35.91,1.68,0.02,0.47,0.78,3.77,0.04,0.23,0.15,0,1
FCW 1776,PSF,PSF_082622,Poudre Below S. Fork,26-Aug-22,NORM,,,,,,,30.51,28.8,1.16,2.61,0.22,7.06,486.63,56.43,1.78,0.02,0.74,1.53,7.11,0.03,0.54,0.44,0,3.04
FCW 1777,PNF,PNF_082622,Poudre Above North Fork,26-Aug-22,NORM,,,,,,,13.48,10.39,1.03,2.54,0.14,7.14,494.7,58.59,2.03,0.03,0.91,1.41,7.14,0.03,0.81,0.12,0,4.19
FCW 1778,PBD,PBD_082622,Poudre at Bellvue Diversion,26-Aug-22,NORM,,,,,,,21.83,26.86,1.02,2.64,0.34,7.49,582.97,68.42,2.26,0.02,0.99,1.9,8.12,0.1,0.9,0.04,0,4
FCW 1779,LNGR,LNGR_083022,Long Draw Reservoir,30-Aug-22,NORM,,,,,,,8,6.63,1.22,2.23,0.23,6.93,319.03,51.01,1.12,0.02,0.54,1.12,6.78,0.28,0.21,0.38,0,7.44
FCW 1780,LNGO,LNGO_083022,Long Draw Outlet,30-Aug-22,NORM,,,,,,,3.73,3.77,0.85,2.29,0.25,6.93,235.8,44.91,0.88,0.06,0.47,0.96,6.66,0.14,0.11,0.33,0,7.45
FCW 1781,PTRR,PTRR_083022,Peterson Reservoir,30-Aug-22,NORM,,,,,,,9.23,6.77,3.3,5.3,0.45,7.03,314.46,37.58,1.43,0.03,0.95,0.69,4.78,0.03,0.63,0.4,0,2.32
FCW 1782,PTRO,PTRO_083022,Peterson Outlet,30-Aug-22,NORM,,,,,,,8.98,8.4,3.69,5.54,0.41,6.94,325.53,37.75,1.36,0.03,0.99,0.59,4.41,0.03,0.56,0.32,0,2.01
FCW 1783,JOEI,JOEI_083022,Joe Wright Inlet,30-Aug-22,NORM,,,,,,,1.59,0.58,0.2,0.81,0.29,6.94,520.77,59.55,1.18,0.03,0.35,1.08,7.34,0.05,0.33,0.62,0,6.33
FCW 1784,JOER,JOER_083022,Joe Wright Reservoir,30-Aug-22,NORM,,,,,,,3.33,4.04,2.56,2.51,0.1,6.94,381.82,43.64,1.08,0.02,0.47,0.92,5.55,0.05,0.44,0.03,0,3.02
FCW 1785,CBRI,CBRI_083022,Chambers Inlet,30-Aug-22,NORM,,,,,,,16.46,15.59,0.5,2.36,0.22,6.95,438.92,51.1,1.53,0.03,0.72,1.02,7.8,0.05,0.7,0.33,0,2.33
FCW 1786,BMD,BMD_083022,Barnes Meadow Outflow,30-Aug-22,NORM,,,,,,,6.33,3.37,0.89,5.99,0.79,6.93,543.56,73.96,2.11,0.51,1.26,1.38,9.44,0.03,1.69,0.33,0,4.78
FCW 1787,BRNR,BRNR_083022,Barnes Meadow Reservoir,30-Aug-22,NORM,,,,,,,5.48,3.96,1.11,6.23,0.24,6.95,507.52,69.7,1.88,0.04,0.95,1.03,8.77,0.03,1.6,0.1,0,6.77
FCW 1788,CBRR,CBRR_083022,Chambers Reservoir,30-Aug-22,NORM,,,,,,,4.24,3.89,0.72,2.55,0.1,6.94,379.8,39.01,1.14,0.04,0.5,0.76,4.97,0.03,0.42,0.02,0,2.21
FCW 1789,CHD,CHD_083022,Chambers Outflow,30-Aug-22,NORM,,,,,,,5.46,5,0.97,2.49,0.15,6.93,406.82,41.58,1.08,0.04,0.58,0.72,4.88,0.03,0.54,0.22,0,1.99
FCW 1790,CHD,CHD_083022,Chambers Outflow,30-Aug-22,DUPLICATE,,,,,,,5.58,4.74,0.98,2.49,0.2,6.94,424.35,41.27,1.06,0.05,0.6,0.7,4.78,0.04,0.55,0.2,0,1.98
FCW 1791,COMI,COMI_083122,Comanche Inflow,31-Aug-22,NORM,,,,,,,0.35,0.4,1.2,2.34,0.5,6.97,173.18,19.19,0.98,0.02,0.27,0.47,2.23,0.02,0.13,0.22,0,0.58
FCW 1792,COMR,COMR_083122,Comanche Reservoir,31-Aug-22,NORM,,,,,,,5.75,3.53,1.91,2.64,0.22,6.99,288.59,32.66,1.7,0.01,0.54,0.72,4.56,0.02,0.22,0.11,0,0.89
FCW 1793,COMR,COMR_083122,Comanche Reservoir,31-Aug-22,BLANK,,,,,,,0.01,0.01,0,0.02,0.01,5.79,3.04,0.77,0.01,0,0,0.01,0.01,0,0,0,0,0.01
FCW 1794,HORI,HORI_083122,Hourglass Inflow,31-Aug-22,NORM,,,,,,,0.96,1.1,0.43,1.32,0.38,6.82,138.2,17.98,0.98,0.02,0.29,0.44,2.21,0.03,0.11,0.15,0,0.7
FCW 1795,COMO,COMO_083122,Comanche Outflow,31-Aug-22,NORM,,,,,,,2.73,3.2,2.86,2.7,0.2,6.95,305.49,27.48,1.31,0.02,0.44,0.67,3,0.02,0.16,0.11,0,0.4
FCW 1796,HORR,HORR_083122,Hourglass Reservoir,31-Aug-22,NORM,,,,,,,5.22,4.2,4.09,2.71,0.21,6.97,330.57,32.61,1.78,0.02,0.49,0.75,3.81,0.02,0.18,0.09,0,0.89
FCW 1797,HORR,HORR_083122,Hourglass Reservoir,31-Aug-22,DUPLICATE,,,,,,,5.65,4.4,4.07,2.69,0.22,6.96,326.28,32.11,1.79,0.02,0.5,0.77,3.79,0.02,0.19,0.08,0,0.87
FCW 1798,BEAV,BEAV_083122,Beaver,31-Aug-22,NORM,,,,,,,4.32,3.7,2.04,2.19,0.28,6.94,269.54,36.84,1.9,0.03,0.58,0.87,4.51,0.03,0.33,0.8,0,1.52
FCW 1799,SFM,SFM_083122,Poudre South Fork ,31-Aug-22,NORM,,,,,,,0.09,5.8,0.85,2.22,0.23,6.95,383.23,36.34,1.7,0.01,0.48,0.8,3.8,0.03,0.2,0.13,0,1.08
FCW 1800,LNGR,LNGR_090622,Long Draw Reservoir,6-Sep-22,NORM,,,,,,,2.35,1.42,0.66,2,0.24,6.98,328.73,52.73,0.99,0.02,0.58,1.26,7.11,0.04,0.1,0.35,0,7.51
FCW 1801,LNGO,LNGO_090622,Long Draw Outlet,6-Sep-22,NORM,,,,,,,1.34,1.7,0.6,2.1,0.17,6.98,355.02,51.32,1.01,0.03,0.6,1.05,7.55,0.15,0.1,0.38,0,7.74
FCW 1802,PTRR,PTRR_090622,Peterson Reservoir,6-Sep-22,NORM,,,,,,,8.21,8.2,2.73,4.61,0.28,6.94,404.3,45.27,2.21,0.02,1.2,0.9,5.14,0.02,0.44,0.19,0,2.09
FCW 1803,PTRO,PTRO_090622,Peterson Outlet,6-Sep-22,NORM,,,,,,,8.9,8.94,5.46,4.97,0.44,6.96,389.74,42.56,1.69,0.03,1.26,0.69,5.43,0.02,0.46,0.02,0,2.16
FCW 1804,PTRO,PTRO_090622,Peterson Outlet,6-Sep-22,DUPLICATE,,,,,,,9.58,9.37,5.06,4.83,0.44,6.97,386.19,42.86,1.72,0.06,1.36,0.69,5.48,0.03,0.45,0.02,0,2.13
FCW 1805,JOEI,JOEI_090622,Joe Wright Inlet,6-Sep-22,NORM,,,,,,,0.25,1,0.58,0.67,0.28,7.07,557.8,68.58,1.5,0.06,0.54,1.67,8.77,0.03,0.33,0.71,0,6.47
FCW 1806,JOER,JOER_090622,Joe Wright Reservoir,6-Sep-22,NORM,,,,,,,0.87,0.82,2.23,2.86,0.09,7.07,389.27,46.55,1.42,0.02,0.67,1.08,6.17,0.09,0.38,0.02,0,2.85
FCW 1807,CBRI,CBRI_090622,Chambers Inlet,6-Sep-22,NORM,,,,,,,0.71,0.6,0.42,2.67,0.37,7.07,493.59,55.83,1.72,0.02,0.78,1.28,7.88,0.06,0.5,0.31,0,2.19
FCW 1808,BMD,BMD_090622,Barnes Meadow Outflow,6-Sep-22,NORM,,,,,,,8.01,3.86,1.01,6.39,0.63,6.95,668.69,85.91,2.18,0.66,1.24,1.64,10.89,0.02,1.19,0.1,0,4.75
FCW 1809,BRNR,BRNR_090622,Barnes Meadow Reservoir,6-Sep-22,NORM,,,,,,,2.29,2.3,1.11,6.12,0.31,7.1,637.32,79.76,2.48,0.06,1.26,1.66,10.6,0.02,1.2,0.04,0,5.89
FCW 1810,CBRR,CBRR_090622,Chambers Reservoir,6-Sep-22,NORM,,,,,,,5.08,6.15,0.86,2.68,0.14,6.91,445.44,48.29,1.51,0.05,0.81,1.18,5.96,0.03,0.39,0.02,0,2.11
FCW 1811,CHD,CHD_090622,Chambers Outflow,6-Sep-22,NORM,,,,,,,0.68,0.3,1.44,2.66,0.29,6.91,479.33,51.23,1.7,0.03,0.98,1.26,6.79,0.05,0.59,0.21,0,2.61
FCW 1812,SAWM,SAWM_090822,Sawmill,8-Sep-22,NORM,,,,,,,0.67,0.4,,0.96,0.43,6.97,436.54,52.78,1.33,0.05,0.89,1.38,7.08,0.03,0.13,0.88,0,2.93
FCW 1821,BEAV,BEAV_090822,Beaver,8-Sep-22,NORM,,,,,,,6.05,0.9,,1.94,0.23,6.95,279.62,36.02,2.06,0.03,0.53,0.92,4.6,0.04,0.36,0.13,0,1.82
FCW 1822,JWC,JWC_090922,JWC-Joe Wright @ Aspen Glen Campground,9-Sep-22,NORM,,,,,,,2.95,0.97,1.45,2.55,0.27,6.84,456.23,49.75,1.53,0.03,0.78,1.23,6.4,0.05,0.55,0.13,0,2.45
FCW 1823,PJW,PJW_090922,Poudre Above Joe Wright,9-Sep-22,NORM,,,,,,,0.85,0.19,0.25,1.92,0.42,6.73,310.1,46.51,1.34,0.03,0.62,1.04,5.62,0.02,0.17,0.55,0,7.68
FCW 1824,PJW,PJW_090922,Poudre Above Joe Wright,9-Sep-22,DUPLICATE,,,,,,,0.85,0.2,0.58,1.94,0.44,6.67,312.97,46.77,1.3,0.02,0.58,1.07,5.7,0.02,0.18,0.53,0,7.64
FCW 1826,PBR,PBR_090922,Poudre Below Rustic,9-Sep-22,NORM,,,,,,,4.06,1.11,0.14,2.26,0.22,6.85,541.98,62.73,1.93,0.05,0.88,1.68,8.27,0.02,0.58,0.13,0,4.2
FCW 1827,SFM,SFM_090922,Poudre South Fork ,9-Sep-22,NORM,,,,,,,0.49,2,1.01,2.19,0.1,6.96,408.77,47.13,2.5,0.01,0.67,1.26,5.51,0.02,0.44,0.23,0,2.3
FCW 1828,PSF,PSF_090922,Poudre Below S. Fork,9-Sep-22,NORM,,,,,,,11.48,18.6,0.79,2.09,0.13,7.07,541.23,64.88,2.09,0.02,0.88,1.62,7.77,0.02,0.6,0.11,0,5.39
FCW 1829,PNF,PNF_090922,Poudre Above North Fork,9-Sep-22,NORM,,,,,,,13.27,3.6,0.58,2.14,0.17,7.17,478.04,64.02,2.16,0.01,0.91,1.7,8.25,0.06,0.73,0.09,0,5.48
FCW 1830,PBD,PBD_090922,Poudre at Bellvue Diversion,9-Sep-22,NORM,,,,,,,10.56,6.53,0.42,2.29,0.12,7.28,588.8,75.71,2.62,0.05,0.99,2.02,9.74,0.17,1.37,0.06,0,5.44
FCW 1831,LNGR,LNGR_091322,Long Draw Reservoir,13-Sep-22,NORM,,,,,,,0.59,0.5,0.67,2.1,0.27,6.85,368.15,60.46,1.1,0.04,0.61,1.39,8.43,0.05,0.14,0.46,0,9.15
FCW 1832,LNGO,LNGO_091322,Long Draw Outlet,13-Sep-22,NORM,,,,,,,0.55,0.98,1.02,2.03,0.18,7.23,511.39,70.79,1.08,0.03,0.59,1.34,10.56,0.13,0.13,0.43,0,9.24
FCW 1833,PTRR,PTRR_091322,Peterson Reservoir,13-Sep-22,NORM,,,,,,,9.57,7.95,3.19,3.75,0.12,6.96,423.83,47.19,2.29,0.02,1.16,0.83,5.93,0.04,0.59,0.1,0,2.34
FCW 1834,PTRR,PTRR_091322,Peterson Reservoir,13-Sep-22,DUPLICATE,,,,,,,10.22,8.18,,3.76,0.13,6.98,418.68,46.76,2.32,0.01,1.26,0.91,6.04,0.04,0.6,0.09,0,2.32
FCW 1835,PTRO,PTRO_091322,Peterson Outlet,13-Sep-22,NORM,,,,,,,8.4,8.67,4.28,4.1,0.23,7.07,535.49,56.6,2.47,0.01,1.26,0.91,6.06,0.05,0.61,0.04,0,2.57
FCW 1836,JOEI,JOEI_091322,Joe Wright Inlet,13-Sep-22,NORM,,,,,,,0.15,1.2,0.19,0.65,0.2,7.06,589.44,80.66,1.82,0.01,0.56,1.99,12.54,0.03,0.48,0.79,0,8.07
FCW 1837,JOER,JOER_091322,Joe Wright Reservoir,13-Sep-22,NORM,,,,,,,0.62,1.04,2.59,2.62,0.1,6.97,487,58.17,1.45,0.03,0.65,1.45,7.88,0.1,0.5,0.08,0,3.55
FCW 1838,CBRI,CBRI_091322,Chambers Inlet,13-Sep-22,NORM,,,,,,,0.28,0.3,0.56,2.52,0.21,6.95,471.5,53.85,1.82,0.04,0.83,1.32,6.83,0.07,0.7,0.35,0,2.77
FCW 1839,BMD,BMD_091322,Barnes Meadow Outflow,13-Sep-22,NORM,,,,,,,5.65,3.33,0.74,6.59,0.57,7.07,704.85,90.63,2.39,0.71,1.39,1.61,12.21,0.04,1.71,0.17,0.15,4.37
FCW 1840,BRNR,BRNR_091322,Barnes Meadow Reservoir,13-Sep-22,NORM,,,,,,,2.43,2.12,0.95,5.72,0.35,7.14,629.14,82.13,2.44,0.01,1.39,1.61,11.24,0.05,1.62,0.07,0,6.97
FCW 1841,CBRR,CBRR_091322,Chambers Reservoir,13-Sep-22,NORM,,,,,,,0.67,0.6,0.97,2.48,0.22,6.94,503.2,54.52,1.56,0.02,0.86,1.23,7.03,0.09,0.54,0.12,0,2.77
